flightId,flightNo,departureAirport,departureTime,arrivalAirport,arrivalTime,flyDur,historicalFlyDur,aircraftNo,aircraftType,isInternational,fixedSucessor
32658,ZH9849,SZX,2017-12-21 17:15:00,NKG,2017-12-21 19:25:00,02:07:00,02:07:00,B5616,738,FALSE,NULL
32659,ZH9850,NKG,2017-12-21 20:30:00,SZX,2017-12-21 23:00:00,02:35:00,02:35:00,B5619,738,FALSE,NULL
32664,ZH9859,CAN,2017-12-21 07:15:00,NKG,2017-12-21 09:30:00,02:09:00,02:09:00,B5736,738,FALSE,NULL
32665,ZH9860,NKG,2017-12-21 10:40:00,CAN,2017-12-21 13:05:00,02:31:00,02:31:00,B5736,738,FALSE,NULL
32666,ZH9861,CAN,2017-12-21 08:45:00,NKG,2017-12-21 11:00:00,02:09:00,02:09:00,B5413,738,FALSE,NULL
32667,ZH9862,NKG,2017-12-21 12:20:00,CAN,2017-12-21 14:35:00,02:31:00,02:31:00,B5413,738,FALSE,NULL
32668,ZH9863,CAN,2017-12-21 10:45:00,NKG,2017-12-21 13:05:00,02:09:00,02:09:00,B5618,738,FALSE,NULL
32669,ZH9864,NKG,2017-12-21 14:20:00,CAN,2017-12-21 16:40:00,02:31:00,02:31:00,B5618,738,FALSE,NULL
32671,ZH9882,HGH,2017-12-21 19:05:00,SZX,2017-12-21 21:20:00,02:24:00,02:24:00,B5106,739,FALSE,NULL
32672,ZH9883,SZX,2017-12-21 18:00:00,HGH,2017-12-21 20:00:00,01:55:00,01:55:00,B5380,738,FALSE,NULL
32673,ZH9884,HGH,2017-12-21 21:00:00,SZX,2017-12-21 23:30:00,02:24:00,02:24:00,B5380,738,FALSE,NULL
32674,ZH9891,SZX,2017-12-21 08:15:00,HFE,2017-12-21 10:35:00,02:05:00,02:05:00,B5103,739,FALSE,NULL
32675,ZH9892,HFE,2017-12-21 11:30:00,SZX,2017-12-21 14:10:00,02:27:00,02:27:00,B5103,739,FALSE,NULL
32676,ZH9893,SZX,2017-12-21 10:20:00,HFE,2017-12-21 12:40:00,02:05:00,02:05:00,B5360,738,FALSE,NULL
32677,ZH9894,HFE,2017-12-21 13:40:00,SZX,2017-12-21 16:00:00,02:27:00,02:27:00,B5360,738,FALSE,NULL
32680,ZH9897,SZX,2017-12-21 20:15:00,HFE,2017-12-21 22:30:00,02:05:00,02:05:00,B5859,738,FALSE,NULL
32681,ZH9898,HFE,2017-12-21 23:25:00,SZX,2017-12-22 01:55:00,02:27:00,02:27:00,B5859,738,FALSE,NULL
32687,ZH9073,SZX,2017-12-21 14:20:00,TPE,2017-12-21 16:00:00,01:44:00,01:44:00,B1755,738,TRUE,NULL
32688,ZH9074,TPE,2017-12-21 17:35:00,SZX,2017-12-21 19:30:00,02:09:00,02:09:00,B1755,738,TRUE,NULL
32692,ZH9867,CAN,2017-12-21 16:45:00,NKG,2017-12-21 19:15:00,02:09:00,02:09:00,B5619,738,FALSE,NULL
32693,ZH9868,NKG,2017-12-21 20:35:00,CAN,2017-12-21 23:00:00,02:31:00,02:31:00,B5616,738,FALSE,NULL
32695,ZH9802,WUX,2017-12-21 10:15:00,SZX,2017-12-21 12:50:00,02:45:00,02:45:00,B5607,738,FALSE,NULL
32696,ZH9803,SZX,2017-12-21 09:05:00,WUX,2017-12-21 11:25:00,02:16:00,02:16:00,B5608,738,FALSE,NULL
32697,ZH9804,WUX,2017-12-21 12:15:00,SZX,2017-12-21 15:00:00,02:45:00,02:45:00,B5608,738,FALSE,NULL
32698,ZH9805,SZX,2017-12-21 10:15:00,WUX,2017-12-21 12:45:00,02:16:00,02:16:00,B5606,738,FALSE,NULL
32699,ZH9806,WUX,2017-12-21 14:20:00,SZX,2017-12-21 16:50:00,02:45:00,02:45:00,B1710,738,FALSE,NULL
32702,ZH9809,SZX,2017-12-21 15:45:00,WUX,2017-12-21 18:20:00,02:16:00,02:16:00,B1712,738,FALSE,NULL
32703,ZH9810,WUX,2017-12-21 20:15:00,SZX,2017-12-21 23:00:00,02:45:00,02:45:00,B1712,738,FALSE,NULL
32704,ZH9811,SZX,2017-12-21 19:05:00,WUX,2017-12-21 21:25:00,02:16:00,02:16:00,B1973,738,FALSE,NULL
32705,ZH9812,WUX,2017-12-21 22:40:00,SZX,2017-12-22 01:25:00,02:45:00,02:45:00,B5400,738,FALSE,NULL
32706,ZH9813,SZX,2017-12-21 22:25:00,WUX,2017-12-22 00:40:00,02:16:00,02:16:00,B5607,738,FALSE,NULL
32707,ZH9814,WUX,2017-12-21 07:10:00,SZX,2017-12-21 09:40:00,02:45:00,02:45:00,B1713,738,FALSE,NULL
32708,ZH9821,CAN,2017-12-21 08:35:00,WUX,2017-12-21 10:50:00,02:17:00,02:17:00,B5619,738,FALSE,NULL
32709,ZH9822,WUX,2017-12-21 11:50:00,CAN,2017-12-21 14:20:00,02:43:00,02:43:00,B5619,738,FALSE,NULL
32710,ZH9823,CAN,2017-12-21 14:25:00,WUX,2017-12-21 16:50:00,02:17:00,02:17:00,B5736,738,FALSE,NULL
32711,ZH9824,WUX,2017-12-21 15:25:00,CAN,2017-12-21 18:10:00,02:43:00,02:43:00,B5606,738,FALSE,NULL
32712,ZH9825,CAN,2017-12-21 15:45:00,WUX,2017-12-21 18:10:00,02:17:00,02:17:00,B1516,738,FALSE,NULL
32713,ZH9826,WUX,2017-12-21 20:20:00,CAN,2017-12-21 23:05:00,02:43:00,02:43:00,B5778,738,FALSE,NULL
32714,ZH9827,CAN,2017-12-21 22:15:00,WUX,2017-12-22 00:35:00,02:17:00,02:17:00,B5670,738,FALSE,NULL
32715,ZH9828,WUX,2017-12-21 07:20:00,CAN,2017-12-21 09:50:00,02:43:00,02:43:00,B5441,738,FALSE,NULL
32718,ZH9841,SZX,2017-12-21 07:40:00,NKG,2017-12-21 09:55:00,02:07:00,02:07:00,B5860,738,FALSE,NULL
32719,ZH9775,KHN,2017-12-21 15:10:00,CKG,2017-12-21 17:15:00,02:11:00,02:11:00,B5613,738,FALSE,NULL
32720,ZH9776,CKG,2017-12-21 18:25:00,KHN,2017-12-21 20:00:00,01:38:00,01:38:00,B5613,738,FALSE,NULL
32721,ZH9779,KHN,2017-12-21 10:15:00,URC,2017-12-21 15:00:00,04:45:00,04:45:00,B5379,738,FALSE,NULL
32725,ZH9780,URC,2017-12-21 16:20:00,KHN,2017-12-21 20:25:00,04:05:00,04:05:00,B5379,738,FALSE,NULL
32740,ZH9801,SZX,2017-12-21 07:05:00,WUX,2017-12-21 09:25:00,02:16:00,02:16:00,B5607,738,FALSE,NULL
32741,ZH9729,CGO,2017-12-21 13:50:00,SHE,2017-12-21 16:15:00,02:24:00,02:24:00,B5402,738,FALSE,NULL
32742,ZH9729,CKG,2017-12-21 11:10:00,CGO,2017-12-21 12:45:00,01:51:00,01:51:00,B5402,738,FALSE,NULL
32743,ZH9730,CGO,2017-12-21 20:40:00,CKG,2017-12-21 22:40:00,02:03:00,02:03:00,B5402,738,FALSE,NULL
32744,ZH9730,SHE,2017-12-21 17:05:00,CGO,2017-12-21 19:40:00,02:41:00,02:41:00,B5402,738,FALSE,NULL
32749,ZH9753,CGO,2017-12-21 13:15:00,NNG,2017-12-21 15:50:00,02:47:00,02:47:00,B7750,738,FALSE,NULL
32750,ZH9753,HRB,2017-12-21 09:05:00,CGO,2017-12-21 12:15:00,03:20:00,03:20:00,B7750,738,FALSE,NULL
32751,ZH9754,NNG,2017-12-21 16:40:00,CGO,2017-12-21 19:05:00,02:30:00,02:30:00,B5187,738,FALSE,NULL
32752,ZH9754,CGO,2017-12-21 20:05:00,HRB,2017-12-21 22:55:00,02:48:00,02:48:00,B5187,738,FALSE,NULL
32757,ZH9757,LYI,2017-12-21 12:50:00,WNZ,2017-12-21 14:45:00,01:55:00,01:55:00,B1477,738,FALSE,NULL
